key	english	french
EP_Moongore_50	« J'ai trouvé l'homme en jaune. Celui qui vous a charmée. » (Get ready to show how you avenged her.)	« J'ai trouvé l'homme en jaune. Celui qui vous a charmée. » (Se préparer à montrer comment vous l'avez vengée.)
EP_Snell_43	« Pas encore. » (Leave and check around a bit more.)	« Pas encore. » (Partir et regarder un peu plus.)
EP_Visken_71	« D'accord. » (Think back to the meeting in the lichhouse.)	« D'accord. » (Repenser à la rencontre dans la lichhouse.)
GT_Bedroll_362	C'est ça. My last day to finish this.	C'est ça. Mon dernier jour pour finir ça.
GT_Ettir_405	« C'est pas juste. Ils sont clairement plus forts qu'ils n'en ont l'air. » (Turn around and give Snell a thumbs up.)	« C'est pas juste. Ils sont clairement plus forts qu'ils n'en ont l'air. » (Se retourner et lever le pouce à Snell.)
GT_Ettir_957	"Bien sûr. I've already delved all the way down to Upperhollow Ridge."	« Bien sûr. J'ai déjà exploré jusqu'à la Crête de Upperhollow. »
JC_Cobbler_71	"Bien sûr. What else?"	« Bien sûr. Quoi d'autre ? »
LP_Lisa_139	"Le salon de thé. What do you know?"	« Le salon de thé. Que savez-vous ? »
Q_Election_90	C'est comme ça qu'ils t'attrapent. You see <>	C'est comme ça qu'ils t'attrapent. Tu vois <>
Q_Election_94	Ils ne s'arrêteraient jamais là. You see <>	Ils ne s'arrêteraient jamais là. Tu vois <>
SH_Alfoz_416	« D'accord. » (Wipe the sweat off your brow. But instead just end up wiping the front of your helm. Then leave.)	« D'accord. » (Essuyer la sueur de ton front. Mais finir par essuyer l'avant de ton heaume. Puis partir.)
Snell_Companion_208	« Joli temps qu'on a. » (Look around with the bucket on your head.)	« Joli temps qu'on a. » (Regarder autour avec le seau sur la tête.)
Snell_Companion_209	« Joli temps qu'on a. » (Look around with the pot on your head.)	« Joli temps qu'on a. » (Regarder autour avec la marmite sur la tête.)
SO_Snurre_226	"Que sais-tu du salon de thé ? The one that exploded?"	« Que sais-tu du salon de thé ? Celui qui a explosé ? »
TestingFeatures_776	« Quick brown fox jumps over the lazy dog. Numbers: 1234567890 »	« Quick brown fox jumps over the lazy dog. Numbers: 1234567890 »
TS_GoboGrafitti_101	Bow to the wall. « Merci pour votre temps. »	S'incliner vers le mur. « Merci pour votre temps. »
TS_Pocket_590	"<shake>THE DANCING BARD HAS COME</shake>...!" (Se mettre à danser.)	« <shake>LE BARDE DANSEUR EST VENU</shake>... ! » (Se mettre à danser.)
TS_Spear_26	That sounds great. (S'éloigner.)	Ça sonne bien. (S'éloigner.)
TS_TeaShopDoor_45	Clear your throat and speak the password, « Poison de Kardemum. »	S'éclaircir la gorge et prononcer le mot de passe : « Poison de Kardemum. »
TS_TeaShopDoor_237	Voilà. (Shake off the wood grain from your gloves.)	Voilà. (Faire tomber les copeaux de bois de tes gants.)
UP_Labyrinth_7	Plus tard peut-être. This seems dangerous.	Plus tard peut-être. Ça semble dangereux.
UP_Meri_85	(Turn to Snell and whisper.) « Je ne comprends pas. »	(Se tourner vers Snell et chuchoter.) « Je ne comprends pas. »
WL_Bookbinder_3	"Bien sûr. I have a deep love for books, Snell."	« Bien sûr. J'ai un amour profond pour les livres, Snell. »
WL_CornerHouse_138	"C'est drôle. I like that."	« C'est drôle. J'aime ça. »
AR_Mephits_60	(Grab a piece of wood splinter off the ground.) "Like this?"	(Ramasser un éclat de bois au sol.) « Comme ça ? »
AR_Viira_321	"Hey, can I have that spell scroll over there?" (Point towards the desk.)	« Hé, je peux avoir ce parchemin de sort là-bas ? » (Pointer vers le bureau.)
AR_Viira_622	(Hand her Drummer's papers.) "Here. Take care of him."	(Lui remettre les papiers de Drummer.) « Tenez. Occupez-vous de lui. »
AR_Viira_678	Unless you-	Sauf si tu —
AR_Viira_1147	"Did I mention how I really appreciate your appearance?" (Attempt to flirt.)	« Ai-je mentionné à quel point j'apprécie votre apparence ? » (Tenter de flirter.)
AR_Viira_1260	(Clear your throat. Stammer a bit. Puis parle.) "After the election, let's go out and eat. I want to get to know you."	(S'éclaircir la gorge. Bégayer un peu. Puis parle.) « Après l'élection, allons dîner. Je veux apprendre à vous connaître. »
AR_Viira_1262	(Clear your throat. Stammer a bit. Puis parle.) "I think there's way more to you than most people assume. I want to figure you out."	(S'éclaircir la gorge. Bégayer un peu. Puis parle.) « Je crois qu'il y a bien plus en vous que les gens ne le supposent. Je veux vous percer à jour. »
AR_Viira_Ivcx_129	"And while we are here, the offer is also offered to Snell."	« Et tant que nous y sommes, l'offre est aussi étendue à Snell. »
AR_Viira_Ivcx_130	"What is your interest in this deal?"	« Quel est votre intérêt dans cet accord ? »
AR_Viira_Ivcx_135	"Your consideration has also been recorded."	« Votre considération a également été enregistrée. »
AR_Viira_Ivcx_240	"Ambassador. The Freestrider Revolution is the greatest feat of liberty the Coast has ever seen. What makes you think the AR Trading Co. should take orders from you?" (Stand up to the Golden Horde.)	« Ambassadeur. La Révolution des Errants est le plus grand exploit de liberté que la Côte ait jamais vu. Qu'est-ce qui vous fait penser que la AR Trading Co. devrait prendre des ordres de vous ? » (Tenir tête à la Horde d'Or.)
AR_Viira_Ivcx_441	(Whisper back.) "<i>What. Do you. Mean?</i>"	(Chuchoter en retour.) « <i>Qu'est-ce. Que vous. Voulez dire ?</i> »
CB_Akzel_112	"Ah oui. The fire trap."	« Ah oui. Le piège à feu. »
CB_Apartment_176	"Fine. Take it." (Offer the key.)	« D'accord. Prenez-la. » (Offrir la clé.)
CB_BagofHolding_150	...That's the... last apple?	...C'est la... dernière pomme ?
CB_Bondavol_143	(Yell.) "Hello? Visken sent me here! Is there anyone here?!"	(Crier.) « Allô ? Visken m'a envoyé ici ! Y a quelqu'un ?! »
CB_Bondavol_146	I should just leave this alone. Pour l'instant.	Je devrais laisser ça tranquille. Pour l'instant.
CB_Bondavol_300	"Snell, I think the skull likes me." (Whisper.)	« Snell, je crois que le crâne m'aime bien. » (Chuchoter.)
CB_Bondavol_682	"The Lord of the Une forteresse ?"	« Le Seigneur de la Une forteresse ? »
CB_CavePaintings_59	Fascinant. But I should move on.	Fascinant. Mais je devrais passer à autre chose.
CB_CryptDoor_43	That won't be needed in this dead, bony place.	Ce ne sera pas nécessaire dans ce lieu mort et osseux.
CB_Dancer_55	(Slap his hand away.) "GET YOUR HANDS OFF ME, <b>GOBLIN</b>!"	(Repousser sa main d'une claque.) « ENLÈVE TES MAINS DE MOI, <b>GOBELIN</b> ! »
CB_Darkness_45	Allez. Snell's not here...	Allez. Snell n'est pas là...
CB_GelCubeSpot_62	"Nothing, Snell. Let's continue." (Leave? Maybe?)	« Rien, Snell. Continuons. » (Partir ? Peut-être ?)
CB_HallwaySolution_153	You're too far away to make use of Comprehend Le langage. The goblin is your only shot.	Tu es trop loin pour user de Compréhension des Langues. Le gobelin est ta seule chance.
CB_HallwayTrap_57	"I can take anything." (Cough up blood in your helmet.)	« Je peux tout encaisser. » (Cracher du sang dans ton heaume.)
CB_Kraaid_29	"Food?" (Mutter to yourself and look around.)	« De la nourriture ? » (Marmonner pour toi-même et regarder autour.)
CB_Lake_125	(Toss in 100 crowns.) "I'd like some of your healing water."	(Jeter 100 écus dedans.) « J'aimerais un peu de votre eau de soin. »
CB_LivingLibrary_290	"Que veux-tu dire ? I've lost my only vote. I won't be able to participate in our first ever election. This is a tragedy."	« Que veux-tu dire ? J'ai perdu mon seul vote. Je ne pourrai pas participer à notre toute première élection. C'est une tragédie. »
CB_Moongore_251	(Point towards the mushroom lady.) "Who's that?"	(Pointer vers la dame champignon.) « C'est qui ? »
CB_Moongore_344	"I'll avenge your honor." (Salute her.) "I swear."	« Je vengerai votre honneur. » (La saluer.) « Je le jure. »
CB_Moongore_397	(Whisper to Meek.) "Quiet, I'm trying to score here."	(Chuchoter à Meek.) « Silence, j'essaie de marquer des points. »
CB_MysteryDoor_41	"<i>Master Hagginshags, I will learn</i>." (Say the words from the petrified wizard.)	« <i>Maître Hagginshags, je vais apprendre</i>. » (Prononcer les mots du magicien pétrifié.)
CB_MysteryDoor_42	"<i>Learn, I will learn</i>." (Say the words from the voice.)	« <i>Apprendre, je vais apprendre</i>. » (Prononcer les mots de la voix.)
CB_NotMimic_429	"I'm tired of this." (Just punch it.)	« J'en ai marre. » (Lui flanquer un coup de poing.)
CB_NotMimic_526	"Ew." (Drop the fang.)	« Beurk. » (Lâcher le croc.)
CB_Questions_64	(Lean over to Snell.) "Que devrais-je dire ?"	(Se pencher vers Snell.) « Que devrais-je dire ? »
CB_Questions_83	C'est... kind of personal. Luckily I'm alone down here, so no one will hear my answer.	C'est... un peu personnel. Heureusement je suis seul ici, donc personne n'entendra ma réponse.
CB_Roper_70	(Be surprised.) "What?"	(Être surpris.) « Quoi ? »
CB_Roper_574	"You too. Great job, Snell." (Lui lever le pouce.)	« Toi aussi. Beau travail, Snell. » (Lui lever le pouce.)
CB_Roper_579	"Thank you for saving me." (Leave, thankfully.)	« Merci de m'avoir sauvé. » (Partir, reconnaissant.)
CB_Roper_580	"I am a hero. A hero of the City Below." (Leave, proudly.)	« Je suis un héros. Un héros de la Cité Inférieure. » (Partir, fièrement.)
CB_Roper_581	C'est fait. The monster has been vanquished. (Partir.)	C'est fait. Le monstre est vaincu. (Partir.)
CB_Skeleton_106	"I can't do this, Snell. I'm dying." (Let him do his thing.)	« Je peux pas faire ça, Snell. Je meurs. » (Le laisser faire son truc.)
CB_Skeleton_203	(S'agenouiller.) "Attends. I have to make sure this warrior gets what he deserves."	(S'agenouiller.) « Attends. Je dois m'assurer que ce guerrier reçoive ce qu'il mérite. »
CB_Snails_19	"You ever seen a snail like this before, Snell?" (Gesture with your arms to emphasize the humongous nature of the creature.)	« T'as déjà vu un escargot comme ça, Snell ? » (Gesticuler des bras pour souligner l'immensité de la créature.)
CB_Whitemane_68	"Probablement. They wouldn't just write that on a shrine for no reason."	« Probablement. Ils n'écriraient pas ça sur un sanctuaire sans raison. »
CB_Whitemane_159	(Regarder autour.) "What?"	(Regarder autour.) « Quoi ? »
CB_WhitemaneMaw_24	"<i>Crinblanca</i>." (Speak the name clearly.)	« <i>Crinblanca</i>. » (Prononcer le nom clairement.)
CB_WhitemaneMaw_64	Leave the statue. Pour l'instant.	Laisser la statue. Pour l'instant.
CB_WhitemaneSkull_21	"Okay. I'll leave you to it." (Pat the top of the skull.)	« D'accord. Je vous laisse à ça. » (Tapoter le sommet du crâne.)
Default_PillarofJor_267	"Right, I'll have to look around. Ask around. Et ainsi de suite."	« D'accord, je vais devoir regarder autour. Demander aux gens. Et ainsi de suite. »
Default_PillarofJor_272	"Right, I'll have to look around. Ask around. Et ainsi de suite."	« D'accord, je vais devoir regarder autour. Demander aux gens. Et ainsi de suite. »
Default_PillarofJor_273	"Right, I'll have to look around. Ask around. Et ainsi de suite."	« D'accord, je vais devoir regarder autour. Demander aux gens. Et ainsi de suite. »
Default_PillarofJor_520	(Whisper to Visken.) "Teleport only me. I'm going in alone."	(Chuchoter à Visken.) « Téléporte-moi seul. J'y vais seul. »
DN_Darrow_425	"Cheers to that. <>	« À ça. <>
DN_Darrow_444	"I need access to the tea shop." (Gulp.)	« J'ai besoin d'accéder au salon de thé. » (Avaler difficilement.)
DN_Darrow_452	"I've actually already entered the tea shop. So..." (Don't swear an oath.)	« En fait, je suis déjà entré dans le salon de thé. Donc... » (Ne pas prêter serment.)
DN_Ettir_4	"Is the Magistrate...?" (Point to the stairs.)	« La Magistrate est-elle... ? » (Pointer vers les escaliers.)
DN_Ettir_17	"Darrow's letting me stay in your tower." (Show her the key.)	« Darrow me laisse loger dans votre tour. » (Lui montrer la clé.)
DS_Akzel_24	"The pickaxe? Ah oui. That thing."	« La pioche ? Ah oui. Ce truc. »
DS_Deck_137	See the-	Vois le —
DS_DonationBowl_80	"I am. Thank you, Snell." (Partir.)	« Je le suis. Merci, Snell. » (Partir.)
DS_Olzis_72	(Turn to Snell.) "You know this sphinx?"	(Se tourner vers Snell.) « Tu connais ce sphinx ? »
DS_Olzis_100	"I'm here. It's daytime. Que dois-je faire ?"	« Je suis là. Il fait jour. Que dois-je faire ? »
DS_Olzis_109	"You're a... very impressive creature, you know that?" (Attempt to flirt.)	« Vous êtes une... créature très impressionnante, vous savez ? » (Tenter de flirter.)
DS_Olzis_161	"I've got one already. Found it down below. But..." (Look a bit uncomfortable at the idea of giving away your emerald.)	« J'en ai déjà une. Trouvée en bas. Mais... » (Avoir l'air un peu mal à l'aise à l'idée de céder ton émeraude.)
DS_Olzis_409	(Turn to your companion and whisper.) "This is important, Snell."	(Se tourner vers ton compagnon et chuchoter.) « C'est important, Snell. »
DS_Olzis_899	"I'll accept that title. <>	« J'accepterai ce titre. <>
DS_Rollo_52	"Hey, kid." (Show him the Orange Ledger, subterfugingly.)	« Hé, gamin. » (Lui montrer le Registre Orange, subrepticement.)
DS_Smarter_120	"Attends. I need to ask, what do you know about the tea shop?"	« Attends. Je dois te demander, que sais-tu du salon de thé ? »
Enc_Final_352	"Bien. To the Tolstad dungeon we go." (Go to grab her.)	« Bien. En route pour le donjon de Tolstad. » (Aller la chercher.)
EP_Alfoz_26	(Slap him back.) "I'm just doing my duty to the cause."	(Le claquer en retour.) « Je fais juste mon devoir envers la cause. »
EP_Borgo_132	"I can't seem to figure you out." (Recommence.)	« J'arrive pas à te cerner. » (Recommencer.)
EP_Darrow_202	(Lean in and whisper.) "Are you aware that Lady Sageleaf is a dragon?"	(Se pencher et chuchoter.) « Êtes-vous au courant que Lady Sageleaf est un dragon ? »
EP_Darrow_209	"I went into the Beyond and fixed your problem. You don't need to know anything more." (Don't tell him anything.)	« Je suis allé dans l'Au-delà et j'ai réglé votre problème. Vous n'avez pas besoin d'en savoir plus. » (Ne rien lui dire.)
EP_Drummer_48	"The Halfways handled his secret cache, right?" (Turn to Snell.)	« Les Halfways se sont occupés de sa cache secrète, hein ? » (Se tourner vers Snell.)
EP_Drummer_56	(Hand him back the papers.) "Fine, take them."	(Lui rendre les papiers.) « D'accord, prenez-les. »
EP_Ettir_164	what?	quoi ?
EP_Miska_181	(Turn to Snell and whisper.) "So you're really okay knowing that she's a..."	(Se tourner vers Snell et chuchoter.) « Donc t'es vraiment OK avec le fait qu'elle soit une... »
EP_Miska_192	(Ask Lady Sageleaf meekly.) "So... what happened to Mr. Drummer?"	(Demander à Lady Sageleaf timidement.) « Alors... qu'est-il arrivé à M. Drummer ? »
EP_Miska_210	(Give her the Orange Ledger.) "These documents contain extremely sensitive information, indicating that the Magistrates are selling out the city to Freestrider interests."	(Lui donner le Registre Orange.) « Ces documents contiennent des informations extrêmement sensibles, indiquant que les Magistrats vendent la cité aux intérêts des Errants. »
EP_Miska_216	(Turn to Snell.) "...You told her?"	(Se tourner vers Snell.) « ...Tu lui as dit ? »
EP_Moongore_86	(Whisper to Meek.) "Quiet, I'm trying to score here."	(Chuchoter à Meek.) « Silence, j'essaie de marquer des points. »
EP_Olzis_21	"I'm not sure what Je crois."	« Je ne suis pas sûr de ce que je crois. »
EP_Oyu_44	"Yeah, I have it right here." (Show her.)	« Ouais, je l'ai juste là. » (Le lui montrer.)
EP_Razz_3	(Turn to Snell.) "I don't think he likes me."	(Se tourner vers Snell.) « Je crois qu'il ne m'aime pas. »
EP_Rix_Lisa_147	"I'mma head inside." (Point towards the Tavern doors.)	« J'vais rentrer. » (Pointer vers les portes de la Taverne.)
EP_Simii_1	The robust dwarf stands among rubble and soot with his arms crossed.	Le robuste nain se tient parmi les gravats et la suie, les bras croisés.
EP_Simii_2	His eyes gazing upon the carnage.	Son regard contemple le carnage.
EP_Simii_4	"You spelunking?"	« Tu fais de la spéléo ? »
EP_Simii_5	"It's awful, isn't it?"	« C'est affreux, non ? »
EP_Simii_6	The dwarf jolts, your comment breaking him away from his thoughts.	Le nain sursaute, ton commentaire l'arrachant à ses pensées.
EP_Simii_7	"Ah! It's um. I'm just taking a look."	« Ah ! C'est euh. Je jette juste un œil. »
EP_Simii_8	"We were here a lot, you know."	« On était souvent ici, tu sais. »
EP_Simii_10	"You and the Azgals?"	« Toi et les Azgals ? »
EP_Simii_15	(Just look around in silence.)	(Se contenter de regarder autour en silence.)
EP_Simii_16	He coughs once, and mutters something to himself.	Il tousse une fois, et marmonne quelque chose pour lui-même.
EP_Simii_18	The dwarf taps the counter, wiping some soot away.	Le nain tapote le comptoir, essuyant un peu de suie.
EP_Simii_19	"Lady Sageleaf said I could get a nice deal on this place, if I clean it up."	« Lady Sageleaf a dit que je pourrais avoir un bon prix pour cet endroit, si je le nettoie. »
EP_Simii_20	"You want to buy the tea shop?"	« Tu veux acheter le salon de thé ? »
EP_Simii_21	"I'm thinking about it."	« J'y réfléchis. »
EP_Simii_22	"Oh! What a capitalist."	« Oh ! Quel capitaliste. »
EP_Simii_25	"Not the best business venture, is it?"	« Pas la meilleure affaire commerciale, hein ? »
EP_Simii_27	"It's a good location. Will be smart to get Azgal activity centralized."	« C'est un bon emplacement. Ce sera malin de centraliser l'activité Azgal. »
EP_Simii_28	"And it'll get everyone out of my apartment."	« Et ça fera sortir tout le monde de mon appartement. »
EP_Simii_33	Twelve hundred is a great monthly for a place like this.	Mille deux cents, c'est un super loyer mensuel pour un endroit comme ça.
EP_Simii_41	"I can finance it with my savings, and get a good supplement via the Union funds. Hosting official events, and so on."	« Je peux le financer avec mes économies, et obtenir un bon complément via les fonds du Syndicat. En accueillant des événements officiels, et ainsi de suite. »
EP_Simii_42	"Just have to make sure we get a hold of Mr. Drummer first."	« Faut juste qu'on mette la main sur M. Drummer d'abord. »
EP_Simii_43	"What about the owner?"	« Et le propriétaire ? »
EP_Simii_45	"Yeah, haven't heard from him yet. But Lady Sageleaf is hasty to bring out the paperwork."	« Ouais, j'ai pas encore eu de ses nouvelles. Mais Lady Sageleaf est pressée de sortir la paperasse. »
EP_Simii_46	"From what I've heard, he won't be back any time soon."	« D'après ce que j'ai entendu, il n'est pas près de revenir. »
EP_Simii_48	"Right, for the explosion?"	« Vrai, pour l'explosion ? »
EP_Simii_49	"Uhm. I'm sure he didn't know anything. Mr. Drummer was never the nefarious kind."	« Euh. Je suis sûr qu'il ne savait rien. M. Drummer n'a jamais été du genre malveillant. »
EP_Simii_50	Ignoring the secret stash of smuggled goods in the back, of course.	En ignorant la cachette secrète de marchandises de contrebande à l'arrière, bien sûr.
EP_Simii_51	"That won't be an issue."	« Ce ne sera pas un problème. »
EP_Simii_53	"Why is that?"	« Pourquoi donc ? »
EP_Simii_54	"He's gone. Left the city during the chaos."	« Il est parti. A quitté la cité pendant le chaos. »
EP_Simii_56	"So that's why Sageleaf was so adamant. C'est logique."	« C'est donc pour ça que Sageleaf était si catégorique. C'est logique. »
EP_Simii_57	"He's still around, but he owes Lady Sageleaf a lot. He won't bother you."	« Il est encore dans le coin, mais il doit beaucoup à Lady Sageleaf. Il ne vous embêtera pas. »
EP_Simii_58	"I'm not telling you."	« Je ne vous le dirai pas. »
EP_Simii_62	He gives you a final glance and mutters, "Nice helmet, by the way."	Il te jette un dernier regard et marmonne : « Joli heaume, au fait. »
EP_Simii_64	The dwarf looks wistfully at the rubble and carnage.	Le nain regarde mélancoliquement les gravats et le carnage.
EP_Simii_65	He thinks of the future.	Il pense à l'avenir.
EP_Simii_66	We'll make a true capitalist out of this Azgal!	On va faire un vrai capitaliste de cet Azgal !
EP_Simii_67	"One more thing: what are you gonna call it?"	« Encore une chose : comment vas-tu l'appeler ? »
EP_Simii_69	"Ah, the place? The <i>potential</i> place."	« Ah, l'endroit ? L'<i>éventuel</i> endroit. »
EP_Simii_75	"Your father's name was <i>Strokeback</i>?"	« Le nom de ton père était <i>Strokeback</i> ? »
EP_Simii_78	"...What was the name of the old tea shop?"	« ...Quel était le nom de l'ancien salon de thé ? »
EP_Simii_80	"I don't seem to remember."	« Je m'en souviens pas. »
EP_Simii_81	"We always just called it 'The Tea Shop' so..."	« On l'a toujours appelé 'Le Salon de Thé' alors... »
EP_Simii_82	"But in the future, we might instead say, let's go to <i>Strokeback</i>."	« Mais à l'avenir, on dira peut-être plutôt : allons à <i>Strokeback</i>. »
EP_Simii_83	"It's like you're building a pillar of the community here. A solid rock for everyone to lean on. Like a mountain, in the middle of the city- where everyone can make a stand against commercial interests."	« C'est comme si tu bâtissais un pilier de la communauté ici. Un roc solide sur lequel chacun peut s'appuyer. Comme une montagne, au milieu de la cité — où chacun peut résister aux intérêts commerciaux. »
EP_Simii_89	"Maybe you should work on that a bit more."	« Tu devrais peut-être travailler ça encore un peu. »
EP_Simii_90	"Hm. You're right."	« Hm. T'as raison. »
EP_Simii_91	"<i>The Strokeback Tea Shop</i> might be better."	« <i>Le Salon de Thé Strokeback</i> serait peut-être mieux. »
EP_Simii_92	"I have no real opinion on names. I'm apolitical like that."	« J'ai pas vraiment d'avis sur les noms. Je suis apolitique comme ça. »
EP_Simii_94	"You should think about that. Apoliticalism can lead to fascism, you know."	« Tu devrais y réfléchir. L'apoliticisme peut mener au fascisme, tu sais. »
EP_Simii_95	"Let's go to Strokeback. Let's go have a Stroke, at Simii's! Yeah, I like that."	« Allons à Strokeback. Allons prendre un Stroke chez Simii ! Ouais, j'aime ça. »
EP_Simii_97	The dwarf goes back to planning out his future among the rubble.	Le nain retourne à la planification de son avenir parmi les gravats.
EP_Snell_72	"Not... yet." (Leave and check around a bit more.)	« Pas... encore. » (Partir et regarder un peu plus.)
EP_Snell_265	"Kick the bucket?" (Point at your helm.)	« Casser sa pipe ? » (Pointer ton heaume.)
EP_Snell_322	(Gesture towards the ballot box.) "You know I gotta ask. About your... political opinions."	(Faire un geste vers l'urne.) « Tu sais que je dois demander. Tes... opinions politiques. »
EP_Snell_828	"No goblin salute?" (Raise your hands a little.)	« Pas de salut gobelin ? » (Lever un peu les mains.)
EP_Snurre_96	"So you've met Isk-Urum?" (Look at the large snailman.)	« Donc tu as rencontré Isk-Urum ? » (Regarder le grand homme-escargot.)
EP_Snurre_144	"I'll leave you two to it." (Leave them to it.) I should leave them to it.	« Je vous laisse à ça tous les deux. » (Les laisser à ça.) Je devrais les laisser à ça.
EP_Viira_239	"You too, Agent Viira." (Partir.)	« Vous aussi, Agent Viira. » (Partir.)
EP_Viira_240	"I get the hint." (Partir.)	« Je comprends le message. » (Partir.)
GG_Miska_549	My oath to the Coinlord makes this difficult. Que devrais-je faire ?	Mon serment au Seigneur de la Monnaie rend ça difficile. Que devrais-je faire ?
GG_Miska_718	Nod to Snell and say, "You go."	Acquiescer à Snell et dire : « Vas-y. »
GG_Miska_1055	(Hand her the papers.) "Here. Take care of him."	(Lui remettre les papiers.) « Tenez. Occupez-vous de lui. »
GG_Miska_1390	Men like yourself took over from these beast long ago. Do not trust word from her lizard's tongue.	Des hommes comme toi ont pris la relève de ces bêtes il y a longtemps. Ne fais pas confiance à la parole de sa langue de lézard.
GT_Ettir_279	"You are an ethereal, yet also imposing woman." (Attempt to flirt.)	« Vous êtes une femme éthérée, et pourtant imposante. » (Tenter de flirter.)
GT_Literature_6	I'm done here, Je crois.	J'en ai fini ici, je crois.
GW_Drummer_482	(Turn to Snell and whisper.) "What's protocol now?"	(Se tourner vers Snell et chuchoter.) « C'est quoi le protocole maintenant ? »
JC_Darkness_1	The cleric is on his knees under the stars.	Le clerc est à genoux sous les étoiles.
JC_Darkness_8	It's like this again.	C'est encore comme ça.
JC_Darkness_10	The voices don't speak at all.	Les voix ne parlent pas du tout.
JC_Darkness_12	Then he hears something.	Puis il entend quelque chose.
JC_Darkness_17	This is what the skies look like <i>Beyond</i>.	Voilà à quoi ressemblent les cieux dans l'<i>Au-delà</i>.
JC_Darkness_19	<i>Stars</i>. Like Everglad said.	<i>Des étoiles</i>. Comme l'a dit Everglad.
JC_Darkness_21	What are these?	C'est quoi ça ?
JC_Darkness_22	You... don't know.	Tu... ne sais pas.
JC_Darkness_23	Perhaps they are Gates in the Beyond.	Peut-être que ce sont des Portes dans l'Au-delà.
JC_Darkness_26	The <b>world</b>. Is <b>vast</b>.	Le <b>monde</b>. Est <b>vaste</b>.
JC_Darkness_27	Horrifiant. Like, damn.	Horrifiant. Genre, putain.
JC_Darkness_28	This is the sort of thing you can sing about in a tavern.	C'est le genre de truc qu'on peut chanter dans une taverne.
JC_Darkness_29	To think there is such beauty in such a dark place.	Penser qu'il y a une telle beauté dans un endroit si sombre.
JC_Darkness_30	Perhaps your time is not up yet.	Peut-être que ton heure n'est pas encore venue.
JC_Darkness_32	What is that sound?	C'est quoi ce son ?
JC_Darkness_35	That is <b>whale song</b>.	C'est un <b>chant de baleine</b>.
JC_Darkness_37	Hm? (Tear your eyes from the sky.)	Hm ? (Détacher tes yeux du ciel.)
JC_Gorm_23	Who is sorry? What is... that voice? (Te sentir malade.)	Qui est désolé ? C'est quoi... cette voix ? (Te sentir malade.)
JC_Gorm_679	"I have a Scroll of Wish. That could be used to treat Lord Âkesam." (Show him.)	« J'ai un Parchemin de Souhait. On pourrait l'utiliser pour soigner Seigneur Âkesam. » (Le lui montrer.)
JC_Gorm_745	"Lord Gorm. As a paladin of Urth, your vows include a sworn oath to never hurt our people. You have broken that promise." (Arrest him.)	« Seigneur Gorm. En tant que paladin d'Urth, vos vœux incluent un serment juré de ne jamais nuire à notre peuple. Vous avez rompu cette promesse. » (L'arrêter.)
JC_Gorm_746	"Lord Gorm. I will assist you." (Join him.)	« Seigneur Gorm. Je vous assisterai. » (Le rejoindre.)
JC_Gorm_1095	"Stop acting like you've already lost!" (Pousse-le.)	« Arrête de te comporter comme si t'avais déjà perdu ! » (Pousse-le.)
JC_Gorm_1677	what?	quoi ?
JC_Gorm_1761	"You have debased your very nature, Gorm. You cannot exist like this." (Sound druidic.)	« Vous avez avili votre propre nature, Gorm. Vous ne pouvez exister ainsi. » (Sonner druidique.)
